module	dataset	species	model_system	comparison	unit_id	target_minus_reference	module_adenoma_direction_sign	module_reversal
M05	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	-0.25041587817244904	-1	-0.25041587817244904
M05	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	0.12330753159478425	-1	0.12330753159478425
M05	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	-0.04170993965463532	-1	-0.04170993965463532
M06	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	0.1250410114685619	1	-0.1250410114685619
M06	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	-0.18487046091258608	1	0.18487046091258608
M06	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	-0.35716368143171084	1	0.35716368143171084
M06	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	-0.005416717091335413	1	0.005416717091335413
M09	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	0.12382862157924363	-1	0.12382862157924363
M09	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	-0.5539159965183902	-1	-0.5539159965183902
M09	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	-0.39252316441054425	-1	-0.39252316441054425
M09	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	-0.9025909057279888	-1	-0.9025909057279888
M10	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	-0.1078828211850165	-1	-0.1078828211850165
M10	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	0.21303765271001718	-1	0.21303765271001718
M10	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	0.34604406410847477	-1	0.34604406410847477
M10	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	0.1577395637683749	-1	0.1577395637683749
