rank	enrichment_score	hit	pathway
448	-0.05572832441846	FALSE	Oxidative Phosphorylation
449	-0.0558527179997512	FALSE	Oxidative Phosphorylation
450	-0.0559771115810424	FALSE	Oxidative Phosphorylation
451	-0.0561015051623336	FALSE	Oxidative Phosphorylation
452	-0.0562258987436248	FALSE	Oxidative Phosphorylation
453	-0.056350292324916	FALSE	Oxidative Phosphorylation
454	-0.0564746859062072	FALSE	Oxidative Phosphorylation
455	-0.0565990794874984	FALSE	Oxidative Phosphorylation
456	-0.0567234730687897	FALSE	Oxidative Phosphorylation
457	-0.0568478666500809	FALSE	Oxidative Phosphorylation
458	-0.0569722602313721	FALSE	Oxidative Phosphorylation
459	-0.0570966538126633	FALSE	Oxidative Phosphorylation
460	-0.0572210473939545	FALSE	Oxidative Phosphorylation
461	-0.0573454409752457	FALSE	Oxidative Phosphorylation
462	-0.0574698345565369	FALSE	Oxidative Phosphorylation
463	-0.0575942281378281	FALSE	Oxidative Phosphorylation
